2001	6.000000	1	3 7 2	8
2002	10.000000	1	5 1 3	5
2003	5.000000	1	6 1 8	5
2004	9.000000	1	2 6 4	5
2005	3.000000	1	8 0 6	4
2006	5.000000	1	0 0 2	7
2007	5.000000	1	0 1 0	11
2008	8.000000	1	1 9 7	6
2009	10.000000	1	9 7 3	4
2010	3.000000	1	8 1 3	6
2011	20.000000	1	4 9 1	6
2012	5.000000	1	3 2 1	5
2013	5.000000	1	6 7 0	1
2014	5.000000	1	1 2 3	1
2015	6.000000	1	6 7 6	19
2016	30.000000	1	4 0 7	5
2017	20.000000	1	8 5 5	5
2018	10.000000	1	4 1 5	0
2019	20.000000	1	5 3 1	5
2020	20.000000	1	5 6 9	5
2021	3.000000	1	5 0 3	5
2022	2.000000	1	8 8 5	0
2023	1.000000	1	2 8 5	0
2024	5.000000	1	2 2 6	0
2025	3.000000	1	0 3 7	0
2026	3.000000	1	8 8 1	0
2027	4.000000	1	0 3 5	0
2028	5.000000	1	5 0 7	0
2029	4.000000	1	3 7 4	10
2030	10.000000	1	2 1 9	10
2031	10.000000	1	6 6 2	5
2032	20.000000	1	8 2 1	5
2033	2.000000	1	7 9 1	1
2034	5.000000	1	1 6 6	6
2035	10.000000	1	7 2 9	5
2036	20.000000	1	1 8 4	10
2037	2.000000	1	1 1 7	15
2038	5.000000	1	7 4 5	5
2039	5.000000	1	1 6 6	10
2040	5.000000	1	4 5 9	10
2041	5.000000	1	9 8 3	5
2042	5.000000	1	1 7 3	10
